sample-id	id	Plate	Type	Soil	Soil.Type	Soil.Location	Location	Group	original_reads	input	filtered	denoised	merged	non-chimeric	ASV	Repeat	Analysis
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical
SB.CL.YO.3	SB.CL.YO.3	3	Barley	CL	SB.CL	CL.YO	YO	SB.CL.YO	90523	90523	77283	71026	55919	51286	50755	FALSE	Include
SB.CL.YO.4	SB.CL.YO.4	3	Barley	CL	SB.CL	CL.YO	YO	SB.CL.YO	70295	70295	61103	55890	44581	41316	40864	FALSE	Include
SB.CY.BU.1	SB.CY.BU.1	3	Barley	CY	SB.CY	CY.BU	BU	SB.CY.BU	102779	102779	91293	86737	75033	69406	68869	FALSE	Include
SB.CY.BU.2	SB.CY.BU.2	3	Barley	CY	SB.CY	CY.BU	BU	SB.CY.BU	90573	90573	78802	74669	64021	58968	58553	FALSE	Include
SB.CY.BU.3	SB.CY.BU.3	3	Barley	CY	SB.CY	CY.BU	BU	SB.CY.BU	87075	87075	77418	73301	62751	58066	57711	FALSE	Include
SB.CY.BU.4	SB.CY.BU.4	3	Barley	CY	SB.CY	CY.BU	BU	SB.CY.BU	70400	70400	60302	57110	49048	46365	46149	FALSE	Include
SB.CY.BU.5	SB.CY.BU.5	3	Barley	CY	SB.CY	CY.BU	BU	SB.CY.BU	74882	74882	65347	62290	55034	51787	51501	FALSE	Include
SB.CY.YO.1	SB.CY.YO.1	3	Barley	CY	SB.CY	CY.YO	YO	SB.CY.YO	94922	94922	82935	78242	67139	64017	63594	FALSE	Include
SB.CY.YO.2	SB.CY.YO.2	3	Barley	CY	SB.CY	CY.YO	YO	SB.CY.YO	90170	90170	79600	74008	61373	57573	57085	FALSE	Include
SB.CY.YO.3	SB.CY.YO.3	3	Barley	CY	SB.CY	CY.YO	YO	SB.CY.YO	97512	97512	84697	79496	68076	64495	64039	FALSE	Include
SB.CY.YO.4	SB.CY.YO.4	3	Barley	CY	SB.CY	CY.YO	YO	SB.CY.YO	74600	74600	65600	61010	50312	47254	46958	FALSE	Include
SB.CY.YO.5	SB.CY.YO.5	3	Barley	CY	SB.CY	CY.YO	YO	SB.CY.YO	62852	62852	53554	49805	41210	39201	39009	FALSE	Include
SB.SC.HE.1	SB.SC.HE.1	3	Barley	SC	SB.SC	SC.HE	HE	SB.SC.HE	40243	40243	34454	32259	26817	24367	24097	FALSE	Include
SB.SC.HE.2	SB.SC.HE.2	3	Barley	SC	SB.SC	SC.HE	HE	SB.SC.HE	26359	26359	21260	19708	15397	14354	14239	FALSE	Include
SB.SC.HE.3	SB.SC.HE.3	3	Barley	SC	SB.SC	SC.HE	HE	SB.SC.HE	96166	96166	82867	78140	65445	60263	59661	FALSE	Include
SB.SC.HE.4	SB.SC.HE.4	3	Barley	SC	SB.SC	SC.HE	HE	SB.SC.HE	70538	70538	61382	57841	49384	44338	43863	FALSE	Include
SB.SC.HE.5	SB.SC.HE.5	3	Barley	SC	SB.SC	SC.HE	HE	SB.SC.HE	62225	62225	54995	51690	43636	39404	38837	FALSE	Include
SB.SC.SH.1	SB.SC.SH.1	3	Barley	SC	SB.SC	SC.SH	SH	SB.SC.SH	73610	73610	64663	60939	52480	49370	48996	FALSE	Include
SB.SC.SH.2	SB.SC.SH.2	3	Barley	SC	SB.SC	SC.SH	SH	SB.SC.SH	89330	89330	76105	71465	60167	56410	55948	FALSE	Include
SB.SC.SH.3	SB.SC.SH.3	3	Barley	SC	SB.SC	SC.SH	SH	SB.SC.SH	60796	60796	52410	48933	40721	38214	37855	FALSE	Include
SB.SC.SH.4	SB.SC.SH.4	3	Barley	SC	SB.SC	SC.SH	SH	SB.SC.SH	36428	36428	31280	28515	22305	20615	20389	FALSE	Include
SB.SC.SH.5	SB.SC.SH.5	3	Barley	SC	SB.SC	SC.SH	SH	SB.SC.SH	60600	60600	51951	48192	38712	35831	35418	FALSE	Include
SB.SL.AN.1	SB.SL.AN.1	3	Barley	SL	SB.SL	SL.AN	AN	SB.SL.AN	36692	36692	31516	28764	22939	21574	21189	FALSE	Include
SB.SL.AN.2	SB.SL.AN.2	3	Barley	SL	SB.SL	SL.AN	AN	SB.SL.AN	106458	106458	90834	86463	75582	72811	72047	FALSE	Include
SB.SL.AN.3	SB.SL.AN.3	3	Barley	SL	SB.SL	SL.AN	AN	SB.SL.AN	85532	85532	73781	68709	57040	53375	52629	FALSE	Include
SB.SL.AN.4	SB.SL.AN.4	3	Barley	SL	SB.SL	SL.AN	AN	SB.SL.AN	103626	103626	91356	85799	72148	67519	66697	FALSE	Include
SB.SL.AN.5	SB.SL.AN.5	3	Barley	SL	SB.SL	SL.AN	AN	SB.SL.AN	81085	81085	70224	65532	54304	50883	50232	FALSE	Include
SB.SL.BE.1	SB.SL.BE.1	3	Barley	SL	SB.SL	SL.BE	BE	SB.SL.BE	85038	85038	72926	68402	57557	54322	53922	FALSE	Include
SB.SL.BE.2	SB.SL.BE.2	3	Barley	SL	SB.SL	SL.BE	BE	SB.SL.BE	67201	67201	58968	54238	42425	38903	38455	FALSE	Include
SB.SL.BE.3	SB.SL.BE.3	3	Barley	SL	SB.SL	SL.BE	BE	SB.SL.BE	37676	37676	31831	28979	22309	20793	20568	TRUE	Include
SB.SL.BE.3.RE	SB.SL.BE.3.RE	4	Barley	SL	SB.SL	SL.BE	BE	SB.SL.BE	50119	50119	42076	38722	30425	28378	28070	TRUE	Exclude
SB.SL.BE.4	SB.SL.BE.4	3	Barley	SL	SB.SL	SL.BE	BE	SB.SL.BE	33053	33053	28186	25320	18384	16828	16586	FALSE	Include
SB.SL.BE.5	SB.SL.BE.5	3	Barley	SL	SB.SL	SL.BE	BE	SB.SL.BE	42906	42906	36667	33792	26881	25093	24812	FALSE	Include
SB.SL.SH.1	SB.SL.SH.1	3	Barley	SL	SB.SL	SL.SH	SH	SB.SL.SH	36575	36575	30829	28066	21952	20495	20287	FALSE	Include
SB.SL.SH.2	SB.SL.SH.2	3	Barley	SL	SB.SL	SL.SH	SH	SB.SL.SH	45020	45020	39659	36066	28519	26563	26280	FALSE	Include
SB.SL.SH.3	SB.SL.SH.3	3	Barley	SL	SB.SL	SL.SH	SH	SB.SL.SH	53349	53349	46382	42383	33696	31016	30633	FALSE	Include
SB.SL.SH.4	SB.SL.SH.4	3	Barley	SL	SB.SL	SL.SH	SH	SB.SL.SH	37119	37119	32674	29838	24103	22600	22359	FALSE	Include
SB.SL.SH.5	SB.SL.SH.5	3	Barley	SL	SB.SL	SL.SH	SH	SB.SL.SH	35506	35506	30243	27679	21820	20399	20179	FALSE	Include
SO.CL.BO.1	SO.CL.BO.1	2	Oats	CL	SO.CL	CL.BO	BO	SO.CL.BO	43613	43613	33765	31505	24127	22560	22422	FALSE	Include
SO.CL.BO.2	SO.CL.BO.2	2	Oats	CL	SO.CL	CL.BO	BO	SO.CL.BO	43010	43010	30893	28802	22435	20880	20767	FALSE	Include
SO.CL.BO.3	SO.CL.BO.3	2	Oats	CL	SO.CL	CL.BO	BO	SO.CL.BO	17333	17333	12793	11556	8157	7355	7342	FALSE	Include
SO.CL.BO.4	SO.CL.BO.4	2	Oats	CL	SO.CL	CL.BO	BO	SO.CL.BO	10303	10303	7543	6600	4283	3840	3804	FALSE	Include
SO.CL.BO.5	SO.CL.BO.5	2	Oats	CL	SO.CL	CL.BO	BO	SO.CL.BO	80163	80163	57914	54271	42290	39367	39029	FALSE	Include
SO.CL.YO.1	SO.CL.YO.1	2	Oats	CL	SO.CL	CL.YO	YO	SO.CL.YO	37947	37947	28484	26119	20085	18715	18546	FALSE	Include
SO.CL.YO.2	SO.CL.YO.2	2	Oats	CL	SO.CL	CL.YO	YO	SO.CL.YO	15073	15073	11028	9754	6871	6088	6035	FALSE	Include
SO.CL.YO.3	SO.CL.YO.3	2	Oats	CL	SO.CL	CL.YO	YO	SO.CL.YO	22646	22646	16692	14840	10450	9441	9397	FALSE	Include
SO.CL.YO.4	SO.CL.YO.4	2	Oats	CL	SO.CL	CL.YO	YO	SO.CL.YO	42324	42324	32484	29602	21233	19486	19326	FALSE	Include
SO.CL.YO.5	SO.CL.YO.5	2	Oats	CL	SO.CL	CL.YO	YO	SO.CL.YO	49417	49417	38066	35077	26384	24455	24285	FALSE	Include
SO.CY.BU.1	SO.CY.BU.1	2	Oats	CY	SO.CY	CY.BU	BU	SO.CY.BU	22415	22415	17220	15790	11985	11066	11001	FALSE	Include
SO.CY.BU.2	SO.CY.BU.2	2	Oats	CY	SO.CY	CY.BU	BU	SO.CY.BU	25494	25494	20436	18945	14854	13736	13659	FALSE	Include
SO.CY.BU.3	SO.CY.BU.3	2	Oats	CY	SO.CY	CY.BU	BU	SO.CY.BU	10321	10321	7582	6765	4798	4314	4290	FALSE	Include
SO.CY.BU.4	SO.CY.BU.4	2	Oats	CY	SO.CY	CY.BU	BU	SO.CY.BU	50011	50011	38219	36134	29399	27382	27311	FALSE	Include
SO.CY.BU.5	SO.CY.BU.5	2	Oats	CY	SO.CY	CY.BU	BU	SO.CY.BU	23383	23383	17477	15717	10991	9678	9578	FALSE	Include
SO.CY.YO.1	SO.CY.YO.1	2	Oats	CY	SO.CY	CY.YO	YO	SO.CY.YO	23813	23813	18361	16471	11862	11003	10922	FALSE	Include
SO.CY.YO.2	SO.CY.YO.2	2	Oats	CY	SO.CY	CY.YO	YO	SO.CY.YO	51387	51387	39806	37111	29226	27636	27563	FALSE	Include
SO.CY.YO.3	SO.CY.YO.3	2	Oats	CY	SO.CY	CY.YO	YO	SO.CY.YO	12163	12163	9108	8005	5480	4854	4836	FALSE	Include
SO.CY.YO.4	SO.CY.YO.4	2	Oats	CY	SO.CY	CY.YO	YO	SO.CY.YO	112431	112431	88119	83703	69101	66273	66049	FALSE	Include
SO.CY.YO.5	SO.CY.YO.5	2	Oats	CY	SO.CY	CY.YO	YO	SO.CY.YO	48320	48320	36027	33405	26137	24770	24652	FALSE	Include
SO.SC.HE.1	SO.SC.HE.1	2	Oats	SC	SO.SC	SC.HE	HE	SO.SC.HE	15634	15634	10344	9516	7099	6470	6446	FALSE	Include
SO.SC.HE.2	SO.SC.HE.2	2	Oats	SC	SO.SC	SC.HE	HE	SO.SC.HE	43057	43057	32004	29994	23707	21878	21654	FALSE	Include
SO.SC.HE.3	SO.SC.HE.3	2	Oats	SC	SO.SC	SC.HE	HE	SO.SC.HE	17947	17947	13426	12420	9196	8357	8330	FALSE	Include
SO.SC.HE.4	SO.SC.HE.4	2	Oats	SC	SO.SC	SC.HE	HE	SO.SC.HE	43809	43809	33638	31746	25012	22864	22773	FALSE	Include
SO.SC.HE.5	SO.SC.HE.5	2	Oats	SC	SO.SC	SC.HE	HE	SO.SC.HE	28538	28538	21099	19577	14396	12930	12814	FALSE	Include
SO.SC.SH.1	SO.SC.SH.1	2	Oats	SC	SO.SC	SC.SH	SH	SO.SC.SH	13276	13276	9747	8561	5828	5313	5273	FALSE	Include
SO.SC.SH.2	SO.SC.SH.2	2	Oats	SC	SO.SC	SC.SH	SH	SO.SC.SH	31556	31556	23469	21800	16992	15700	15576	FALSE	Include
SO.SC.SH.3	SO.SC.SH.3	2	Oats	SC	SO.SC	SC.SH	SH	SO.SC.SH	32256	32256	23599	22081	17206	16070	15964	FALSE	Include
SO.SC.SH.4	SO.SC.SH.4	2	Oats	SC	SO.SC	SC.SH	SH	SO.SC.SH	90270	90270	66805	62992	49695	46396	46107	FALSE	Include
SO.SC.SH.5	SO.SC.SH.5	2	Oats	SC	SO.SC	SC.SH	SH	SO.SC.SH	37679	37679	25978	23943	17622	16147	16081	FALSE	Include
SO.SL.AN.1	SO.SL.AN.1	2	Oats	SL	SO.SL	SL.AN	AN	SO.SL.AN	64850	64850	47812	44984	35774	33506	33210	FALSE	Include
SO.SL.AN.2	SO.SL.AN.2	2	Oats	SL	SO.SL	SL.AN	AN	SO.SL.AN	43654	43654	32364	29902	22851	21229	21044	FALSE	Include
SO.SL.AN.3	SO.SL.AN.3	2	Oats	SL	SO.SL	SL.AN	AN	SO.SL.AN	36641	36641	28403	26341	20632	19088	18951	FALSE	Include
SO.SL.AN.4	SO.SL.AN.4	2	Oats	SL	SO.SL	SL.AN	AN	SO.SL.AN	41270	41270	31181	29344	23507	22057	21894	TRUE	Include
SO.SL.AN.4.RE	SO.SL.AN.4.RE	4	Oats	SL	SO.SL	SL.AN	AN	SO.SL.AN	677595	677595	577672	570866	540241	526346	522401	TRUE	Exclude
SO.SL.AN.5	SO.SL.AN.5	2	Oats	SL	SO.SL	SL.AN	AN	SO.SL.AN	40896	40896	31860	29818	23354	21658	21441	FALSE	Include
SO.SL.BE.1	SO.SL.BE.1	2	Oats	SL	SO.SL	SL.BE	BE	SO.SL.BE	37010	37010	28402	25857	17954	16369	16211	FALSE	Include
SO.SL.BE.2	SO.SL.BE.2	2	Oats	SL	SO.SL	SL.BE	BE	SO.SL.BE	229	229	124	61	17	17	13	TRUE	Exclude
SO.SL.BE.2.RE	SO.SL.BE.2.RE	4	Oats	SL	SO.SL	SL.BE	BE	SO.SL.BE	49147	49147	42279	37974	27726	25241	24863	TRUE	Include
SO.SL.BE.3	SO.SL.BE.3	2	Oats	SL	SO.SL	SL.BE	BE	SO.SL.BE	62075	62075	45219	41503	29217	26956	26699	FALSE	Include
SO.SL.BE.4	SO.SL.BE.4	2	Oats	SL	SO.SL	SL.BE	BE	SO.SL.BE	64908	64908	46975	43723	32222	29672	29432	FALSE	Include
SO.SL.BE.5	SO.SL.BE.5	4	Oats	SL	SO.SL	SL.BE	BE	SO.SL.BE	56742	56742	47839	43899	33495	29731	29347	FALSE	Include
SO.SL.SH.1	SO.SL.SH.1	2	Oats	SL	SO.SL	SL.SH	SH	SO.SL.SH	52033	52033	40286	37277	28770	26583	26309	FALSE	Include
SO.SL.SH.2	SO.SL.SH.2	2	Oats	SL	SO.SL	SL.SH	SH	SO.SL.SH	100585	100585	75804	71759	58768	55243	54734	FALSE	Include
SO.SL.SH.3	SO.SL.SH.3	2	Oats	SL	SO.SL	SL.SH	SH	SO.SL.SH	30029	30029	23208	21368	16432	15274	15111	FALSE	Include
SO.SL.SH.4	SO.SL.SH.4	2	Oats	SL	SO.SL	SL.SH	SH	SO.SL.SH	280	280	152	85	21	21	21	TRUE	Exclude
SO.SL.SH.4.RE	SO.SL.SH.4.RE	4	Oats	SL	SO.SL	SL.SH	SH	SO.SL.SH	37936	37936	32776	29503	22348	20349	20073	TRUE	Include
SO.SL.SH.5	SO.SL.SH.5	2	Oats	SL	SO.SL	SL.SH	SH	SO.SL.SH	204157	204157	148898	143882	124065	117449	116504	FALSE	Include
SU.CL.BO.1	SU.CL.BO.1	1	Sugarbeet	CL	SU.CL	CL.BO	BO	SU.CL.BO	56815	56815	47071	42172	30894	27534	27019	FALSE	Include
SU.CL.BO.2	SU.CL.BO.2	1	Sugarbeet	CL	SU.CL	CL.BO	BO	SU.CL.BO	58039	58039	48457	43191	31058	27199	26609	FALSE	Include
SU.CL.BO.3	SU.CL.BO.3	1	Sugarbeet	CL	SU.CL	CL.BO	BO	SU.CL.BO	60191	60191	51511	45977	32594	28486	27857	FALSE	Include
SU.CL.BO.4	SU.CL.BO.4	1	Sugarbeet	CL	SU.CL	CL.BO	BO	SU.CL.BO	98791	98791	81927	74774	56820	50739	50018	FALSE	Include
SU.CL.BO.5	SU.CL.BO.5	1	Sugarbeet	CL	SU.CL	CL.BO	BO	SU.CL.BO	92312	92312	78242	70871	52647	45865	45053	FALSE	Include
SU.CL.YO.1	SU.CL.YO.1	1	Sugarbeet	CL	SU.CL	CL.YO	YO	SU.CL.YO	29273	29273	25121	22789	17908	16779	16585	FALSE	Include
SU.CL.YO.2	SU.CL.YO.2	1	Sugarbeet	CL	SU.CL	CL.YO	YO	SU.CL.YO	367612	367612	307675	292477	251290	230170	227864	FALSE	Include
SU.CL.YO.3	SU.CL.YO.3	1	Sugarbeet	CL	SU.CL	CL.YO	YO	SU.CL.YO	141569	141569	120802	110355	85431	75370	73901	FALSE	Include
SU.CL.YO.4	SU.CL.YO.4	1	Sugarbeet	CL	SU.CL	CL.YO	YO	SU.CL.YO	87052	87052	72012	67193	55407	51793	51242	FALSE	Include
SU.CL.YO.5	SU.CL.YO.5	1	Sugarbeet	CL	SU.CL	CL.YO	YO	SU.CL.YO	49936	49936	41592	38239	31430	29361	28958	FALSE	Include
SU.CY.BU.1	SU.CY.BU.1	1	Sugarbeet	CY	SU.CY	CY.BU	BU	SU.CY.BU	90746	90746	76107	73472	66366	64154	63688	FALSE	Include
SU.CY.BU.2	SU.CY.BU.2	1	Sugarbeet	CY	SU.CY	CY.BU	BU	SU.CY.BU	103841	103841	86922	83703	75883	72614	72171	FALSE	Include
SU.CY.BU.3	SU.CY.BU.3	1	Sugarbeet	CY	SU.CY	CY.BU	BU	SU.CY.BU	53313	53313	44990	41499	33721	29354	29001	FALSE	Include
SU.CY.BU.4	SU.CY.BU.4	1	Sugarbeet	CY	SU.CY	CY.BU	BU	SU.CY.BU	161406	161406	138475	129181	105420	88795	88060	FALSE	Include
SU.CY.BU.5	SU.CY.BU.5	1	Sugarbeet	CY	SU.CY	CY.BU	BU	SU.CY.BU	36067	36067	29998	28226	24141	22671	22545	FALSE	Include
SU.CY.YO.1	SU.CY.YO.1	1	Sugarbeet	CY	SU.CY	CY.YO	YO	SU.CY.YO	61143	61143	49405	44318	32313	29400	29011	FALSE	Include
SU.CY.YO.2	SU.CY.YO.2	1	Sugarbeet	CY	SU.CY	CY.YO	YO	SU.CY.YO	73205	73205	61189	55161	41079	36731	36133	FALSE	Include
SU.CY.YO.3	SU.CY.YO.3	1	Sugarbeet	CY	SU.CY	CY.YO	YO	SU.CY.YO	99961	99961	83122	76031	59364	54365	53694	FALSE	Include
SU.CY.YO.4	SU.CY.YO.4	1	Sugarbeet	CY	SU.CY	CY.YO	YO	SU.CY.YO	95191	95191	79443	71694	53376	47738	46932	FALSE	Include
SU.CY.YO.5	SU.CY.YO.5	1	Sugarbeet	CY	SU.CY	CY.YO	YO	SU.CY.YO	226	226	33	8	0	0	0	TRUE	Exclude
SU.CY.YO.5.RE	SU.CY.YO.5.RE	4	Sugarbeet	CY	SU.CY	CY.YO	YO	SU.CY.YO	36171	36171	30028	25958	17611	15825	15492	TRUE	Include
SU.SC.HE.1	SU.SC.HE.1	1	Sugarbeet	SC	SU.SC	SC.HE	HE	SU.SC.HE	286779	286779	243120	235658	213410	194935	193309	FALSE	Include
SU.SC.HE.2	SU.SC.HE.2	1	Sugarbeet	SC	SU.SC	SC.HE	HE	SU.SC.HE	321336	321336	268857	259212	228888	200617	199014	FALSE	Include
SU.SC.HE.3	SU.SC.HE.3	1	Sugarbeet	SC	SU.SC	SC.HE	HE	SU.SC.HE	175793	175793	147215	142012	126595	117273	116187	FALSE	Include
SU.SC.HE.4	SU.SC.HE.4	1	Sugarbeet	SC	SU.SC	SC.HE	HE	SU.SC.HE	235489	235489	196386	189715	168507	154074	152846	FALSE	Include
SU.SC.HE.5	SU.SC.HE.5	1	Sugarbeet	SC	SU.SC	SC.HE	HE	SU.SC.HE	171726	171726	140096	135352	121111	111673	111061	FALSE	Include
SU.SC.SH.1	SU.SC.SH.1	1	Sugarbeet	SC	SU.SC	SC.SH	SH	SU.SC.SH	51371	51371	43392	38664	28307	24760	24117	FALSE	Include
SU.SC.SH.2	SU.SC.SH.2	1	Sugarbeet	SC	SU.SC	SC.SH	SH	SU.SC.SH	41481	41481	31393	27359	18224	15765	15546	FALSE	Include
SU.SC.SH.3	SU.SC.SH.3	1	Sugarbeet	SC	SU.SC	SC.SH	SH	SU.SC.SH	48000	48000	40322	36490	27853	24935	24518	FALSE	Include
SU.SC.SH.4	SU.SC.SH.4	1	Sugarbeet	SC	SU.SC	SC.SH	SH	SU.SC.SH	27783	27783	8594	7223	4009	3360	3318	TRUE	Exclude
SU.SC.SH.4.RE	SU.SC.SH.4.RE	4	Sugarbeet	SC	SU.SC	SC.SH	SH	SU.SC.SH	48020	48020	40702	37010	28439	25802	25479	TRUE	Include
SU.SC.SH.5	SU.SC.SH.5	1	Sugarbeet	SC	SU.SC	SC.SH	SH	SU.SC.SH	50980	50980	42130	38032	28421	25060	24620	FALSE	Include
SU.SL.AN.1	SU.SL.AN.1	1	Sugarbeet	SL	SU.SL	SL.AN	AN	SU.SL.AN	65596	65596	55776	51678	41934	38544	38027	FALSE	Include
SU.SL.AN.2	SU.SL.AN.2	1	Sugarbeet	SL	SU.SL	SL.AN	AN	SU.SL.AN	68823	68823	56717	50422	36543	32208	31236	FALSE	Include
SU.SL.AN.3	SU.SL.AN.3	1	Sugarbeet	SL	SU.SL	SL.AN	AN	SU.SL.AN	71089	71089	59357	54928	45158	41883	41215	FALSE	Include
SU.SL.AN.4	SU.SL.AN.4	1	Sugarbeet	SL	SU.SL	SL.AN	AN	SU.SL.AN	80637	80637	66201	63101	55420	53455	52659	FALSE	Include
SU.SL.AN.5	SU.SL.AN.5	1	Sugarbeet	SL	SU.SL	SL.AN	AN	SU.SL.AN	93794	93794	78776	74213	63020	59307	58502	FALSE	Include
SU.SL.BE.1	SU.SL.BE.1	1	Sugarbeet	SL	SU.SL	SL.BE	BE	SU.SL.BE	69884	69884	58511	54282	44118	41286	40836	FALSE	Include
SU.SL.BE.2	SU.SL.BE.2	1	Sugarbeet	SL	SU.SL	SL.BE	BE	SU.SL.BE	43212	43212	36508	33388	26220	24217	23848	FALSE	Include
SU.SL.BE.3	SU.SL.BE.3	1	Sugarbeet	SL	SU.SL	SL.BE	BE	SU.SL.BE	34412	34412	29434	26641	20278	18671	18308	FALSE	Include
SU.SL.BE.4	SU.SL.BE.4	1	Sugarbeet	SL	SU.SL	SL.BE	BE	SU.SL.BE	36424	36424	30470	28021	22393	20878	20519	FALSE	Include
SU.SL.BE.5	SU.SL.BE.5	1	Sugarbeet	SL	SU.SL	SL.BE	BE	SU.SL.BE	41848	41848	35750	32821	26210	24403	24074	FALSE	Include
SU.SL.SH.1	SU.SL.SH.1	1	Sugarbeet	SL	SU.SL	SL.SH	SH	SU.SL.SH	77088	77088	64771	57977	42251	36354	35514	FALSE	Include
SU.SL.SH.2	SU.SL.SH.2	1	Sugarbeet	SL	SU.SL	SL.SH	SH	SU.SL.SH	93812	93812	77855	73849	64403	61595	61021	FALSE	Include
SU.SL.SH.3	SU.SL.SH.3	1	Sugarbeet	SL	SU.SL	SL.SH	SH	SU.SL.SH	199040	199040	165744	156224	128853	113524	112169	FALSE	Include
SU.SL.SH.4	SU.SL.SH.4	1	Sugarbeet	SL	SU.SL	SL.SH	SH	SU.SL.SH	118817	118817	100274	93862	78015	71923	71028	FALSE	Include
SU.SL.SH.5	SU.SL.SH.5	1	Sugarbeet	SL	SU.SL	SL.SH	SH	SU.SL.SH	81557	81557	68736	64390	53978	50343	49596	FALSE	Include
WH.CL.BO.1	WH.CL.BO.1	3	Wheat	CL	WH.CL	CL.BO	BO	WH.CL.BO	60710	60710	52226	47852	38903	36485	35979	FALSE	Include
WH.CL.BO.2	WH.CL.BO.2	3	Wheat	CL	WH.CL	CL.BO	BO	WH.CL.BO	53227	53227	46338	42490	34093	31606	31244	FALSE	Include
WH.CL.BO.3	WH.CL.BO.3	3	Wheat	CL	WH.CL	CL.BO	BO	WH.CL.BO	52597	52597	46087	43163	36446	34537	34200	FALSE	Include
WH.CL.BO.4	WH.CL.BO.4	3	Wheat	CL	WH.CL	CL.BO	BO	WH.CL.BO	54753	54753	47344	44308	37161	35167	34879	FALSE	Include
WH.CL.BO.5	WH.CL.BO.5	3	Wheat	CL	WH.CL	CL.BO	BO	WH.CL.BO	51052	51052	44817	41183	33556	31590	31231	FALSE	Include
WH.CL.YO.1	WH.CL.YO.1	3	Wheat	CL	WH.CL	CL.YO	YO	WH.CL.YO	78038	78038	68441	63031	51336	47673	47052	FALSE	Include
WH.CL.YO.2	WH.CL.YO.2	3	Wheat	CL	WH.CL	CL.YO	YO	WH.CL.YO	63082	63082	54703	51357	44203	42433	42030	FALSE	Include
WH.CL.YO.3	WH.CL.YO.3	3	Wheat	CL	WH.CL	CL.YO	YO	WH.CL.YO	58894	58894	51801	47481	38438	35762	35317	FALSE	Include
WH.CL.YO.4	WH.CL.YO.4	3	Wheat	CL	WH.CL	CL.YO	YO	WH.CL.YO	55032	55032	46788	43008	35034	32959	32582	FALSE	Include
WH.CL.YO.5	WH.CL.YO.5	3	Wheat	CL	WH.CL	CL.YO	YO	WH.CL.YO	48437	48437	41746	38309	31840	29946	29522	FALSE	Include
WH.CY.BU.1	WH.CY.BU.1	3	Wheat	CY	WH.CY	CY.BU	BU	WH.CY.BU	36136	36136	31258	29227	24974	23549	23405	FALSE	Include
WH.CY.BU.2	WH.CY.BU.2	3	Wheat	CY	WH.CY	CY.BU	BU	WH.CY.BU	103456	103456	89672	86528	78560	75893	75412	FALSE	Include
WH.CY.BU.3	WH.CY.BU.3	3	Wheat	CY	WH.CY	CY.BU	BU	WH.CY.BU	116893	116893	102587	98699	90340	86811	86394	FALSE	Include
WH.CY.BU.4	WH.CY.BU.4	3	Wheat	CY	WH.CY	CY.BU	BU	WH.CY.BU	100250	100250	88561	84890	76855	73554	72918	FALSE	Include
WH.CY.BU.5	WH.CY.BU.5	3	Wheat	CY	WH.CY	CY.BU	BU	WH.CY.BU	105878	105878	91907	88710	81066	78497	78234	FALSE	Include
WH.CY.YO.1	WH.CY.YO.1	3	Wheat	CY	WH.CY	CY.YO	YO	WH.CY.YO	42041	42041	35117	31961	24743	23332	23134	FALSE	Include
WH.CY.YO.2	WH.CY.YO.2	3	Wheat	CY	WH.CY	CY.YO	YO	WH.CY.YO	44556	44556	38510	35455	29036	27513	27312	FALSE	Include
WH.CY.YO.3	WH.CY.YO.3	3	Wheat	CY	WH.CY	CY.YO	YO	WH.CY.YO	38517	38517	33325	29979	23862	22503	22332	FALSE	Include
WH.CY.YO.4	WH.CY.YO.4	3	Wheat	CY	WH.CY	CY.YO	YO	WH.CY.YO	61645	61645	53421	48880	39631	36777	36277	FALSE	Include
WH.CY.YO.5	WH.CY.YO.5	3	Wheat	CY	WH.CY	CY.YO	YO	WH.CY.YO	50102	50102	44005	40059	31876	29987	29668	FALSE	Include
WH.SC.HE.1	WH.SC.HE.1	3	Wheat	SC	WH.SC	SC.HE	HE	WH.SC.HE	108803	108803	95568	91395	80326	75123	74440	FALSE	Include
WH.SC.HE.2	WH.SC.HE.2	3	Wheat	SC	WH.SC	SC.HE	HE	WH.SC.HE	92386	92386	79385	75330	65459	61274	60713	FALSE	Include
WH.SC.HE.3	WH.SC.HE.3	3	Wheat	SC	WH.SC	SC.HE	HE	WH.SC.HE	59692	59692	51704	48665	41227	38398	38015	FALSE	Include
WH.SC.HE.4	WH.SC.HE.4	3	Wheat	SC	WH.SC	SC.HE	HE	WH.SC.HE	41917	41917	35888	33417	27507	25678	25371	FALSE	Include
WH.SC.HE.5	WH.SC.HE.5	3	Wheat	SC	WH.SC	SC.HE	HE	WH.SC.HE	38425	38425	32440	30196	24849	23250	23060	FALSE	Include
WH.SC.SH.1	WH.SC.SH.1	3	Wheat	SC	WH.SC	SC.SH	SH	WH.SC.SH	90989	90989	79293	74314	63387	59486	58925	FALSE	Include
WH.SC.SH.2	WH.SC.SH.2	3	Wheat	SC	WH.SC	SC.SH	SH	WH.SC.SH	66671	66671	52939	49627	40860	38462	38164	FALSE	Include
WH.SC.SH.3	WH.SC.SH.3	3	Wheat	SC	WH.SC	SC.SH	SH	WH.SC.SH	106030	106030	92037	87461	77274	73853	73303	FALSE	Include
