sample-id	Sample	File_ID	Raw reads	Type	Soil	Soil.Type	Soil.Location	Location	Group	Run	Raw_reads
FB-CL-YO-01	N056	EKDN230025004-1A_HKTCHDSX7_L1	177245448	Beans	CL	FB-CL	CL.YO	YO	FB-CL-YO	1	177245448
FB-CL-YO-02	N057	EKDN230025005-1A_HHG3HDSX7_L1	175210424	Beans	CL	FB-CL	CL.YO	YO	FB-CL-YO	1	175210424
FB-CL-YO-04	N059	EKDN230025007-1A_HHG3HDSX7_L1	139914926	Beans	CL	FB-CL	CL.YO	YO	FB-CL-YO	1	139914926
FB-CL-YO-05	N060	EKDN230025008-1A_HKTCHDSX7_L1	152662484	Beans	CL	FB-CL	CL.YO	YO	FB-CL-YO	1	152662484
FB-CY-BU-01	N061	EKDN230025009-1A_HHG3HDSX7_L2	158775864	Beans	CY	FB-CY	CY.BU	BU	FB-CY-BU	1	158775864
FB-CY-BU-02	N062	EKDN230025010-1A_HHG3HDSX7_L2	140936866	Beans	CY	FB-CY	CY.BU	BU	FB-CY-BU	1	140936866
FB-CY-BU-03	N063	EKDN230025011-1A_HHG3HDSX7_L2	159855774	Beans	CY	FB-CY	CY.BU	BU	FB-CY-BU	1	159855774
FB-CY-BU-05	N065	EKDN230025013-1A_HHG3HDSX7_L2	134955262	Beans	CY	FB-CY	CY.BU	BU	FB-CY-BU	1	134955262
FB-SL-AN-01	N066	EKDN230025014-1A_HJHN3DSX7_L2	175266610	Beans	SL	FB-SL	SL.AN	AN	FB-SL-AN	1	175266610
FB-SL-AN-02	N067	EKDN230025015-1A_HHG3HDSX7_L3	195148410	Beans	SL	FB-SL	SL.AN	AN	FB-SL-AN	1	195148410
FB-SL-AN-03	N068	EKDN230025016-1A_HHG3HDSX7_L2	161775078	Beans	SL	FB-SL	SL.AN	AN	FB-SL-AN	1	161775078
FB-SL-AN-05	N070	EKDN230025018-1A_HHG3HDSX7_L2	177007904	Beans	SL	FB-SL	SL.AN	AN	FB-SL-AN	1	177007904
FB-SC-SH-02	N072	EKDN230025020-1A_HHG3HDSX7_L2	188855500	Beans	SC	FB-SC	SC.SH	SH	FB-SC-SH	1	188855500
FB-SC-SH-03	N073	EKDN230025021-1A_HHG3HDSX7_L2	167304082	Beans	SC	FB-SC	SC.SH	SH	FB-SC-SH	1	167304082
FB-SC-SH-04	N074	EKDN230025022-1A_HHG3HDSX7_L2	146660102	Beans	SC	FB-SC	SC.SH	SH	FB-SC-SH	1	146660102
FB-SC-SH-05	N075	EKDN230025023-1A_HHG3HDSX7_L2	132917734	Beans	SC	FB-SC	SC.SH	SH	FB-SC-SH	1	132917734
