"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Barley",2,46,139,211,247,394,206
"Beans",2,47,143,205,236,377,170
"Bulksoil",2,49,141,215,243,411,220
"Oats",2,42,125,192,215,318,128
"OilseedRape",2,44,136,209,236,371,174
"Sugarbeet",2,48,144,219,244,408,221
"Wheat",2,48,148,220,256,415,208
