"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Barley",2,64,151,397,676,1312,1228
"Beans",2,66,156,398,670,1247,1123
"Bulksoil",2,68,160,422,720,1436,1319
"Oats",2,59,141,359,595,1064,900
"OilseedRape",2,65,153,390,666,1265,1140
"Sugarbeet",2,69,162,420,729,1479,1409
"Wheat",2,68,166,425,756,1471,1373
